code,name
SAP_BR_CREDIT_CONTROLLER,Credit Controller
SAP_BR_CUSTOMER_SRVC_MGR,Customer Service Manager
SAP_BR_CUST_SRVC_MGR_REPA,Customer Service Manager - In-House Repair
SAP_BR_DATA_MIG_TEST,Configuration Expert - Data Migration
SAP_BR_DG_SPLST_PCL,Dangerous Goods Specialist - Product Compliance
SAP_BR_DISPATCHER,Dispatcher (TM)
SAP_BR_DIVISION_ACCOUNTANT,Divisional Accountant
SAP_BR_DO_ANALYST_IOG,Division Order Analyst (IOG)
SAP_BR_EHS_ENV_MGMT,Environmental Manager
SAP_BR_EMPLOYEE,Employee
SAP_BR_EMPLOYEE_LEGAL_CONTENT,Employee - Enterprise Contract Management
SAP_BR_EMPLOYEE_PROCUREMENT,Employee - Procurement
SAP_BR_EXTERNAL_AUDITOR,External Auditor
SAP_BR_EXTERNAL_AUDITOR_AT,External Auditor for Austria
SAP_BR_EXTERNAL_AUDITOR_PRC,External Auditor - Procurement
SAP_BR_EXTERNAL_AUDITOR_SLS,External Auditor - Sales
SAP_BR_EXT_AUDITOR_APR_FICA,External Auditor - Accounts Payable and Receivable (FI-CA)
SAP_BR_EXT_AUDITOR_APR_FICA_DE,External Auditor - Accounts Payable and Receivable (FI-CA) for Germany
SAP_BR_GL_ACCOUNTANT,General Ledger Accountant
SAP_BR_GL_ACCOUNTANT_AE,General Ledger Accountant for United Arab Emirates
SAP_BR_GL_ACCOUNTANT_AT,General Ledger Accountant for Austria
SAP_BR_GL_ACCOUNTANT_AU,General Ledger Accountant for Australia
SAP_BR_GL_ACCOUNTANT_BE,General Ledger Accountant for Belgium
SAP_BR_GL_ACCOUNTANT_BR,General Ledger Accountant for Brazil
SAP_BR_GL_ACCOUNTANT_CA,General Ledger Accountant for Canada
SAP_BR_GL_ACCOUNTANT_CH,General Ledger Accountant for Switzerland
SAP_BR_GL_ACCOUNTANT_CN,General Ledger Accountant for China
SAP_BR_GL_ACCOUNTANT_CZ,General Ledger Accountant for Czech Republic
SAP_BR_GL_ACCOUNTANT_DE,General Ledger Accountant for Germany
SAP_BR_GL_ACCOUNTANT_DK,General Ledger Accountant for Denmark
SAP_BR_GL_ACCOUNTANT_ES,General Ledger Accountant for Spain
SAP_BR_GL_ACCOUNTANT_FI,General Ledger Accountant for Finland
SAP_BR_GL_ACCOUNTANT_FR,General Ledger Accountant for France
SAP_BR_GL_ACCOUNTANT_GB,General Ledger Accountant for United Kingdom
SAP_BR_GL_ACCOUNTANT_HU,General Ledger Accountant for Hungary
SAP_BR_GL_ACCOUNTANT_IE,General Ledger Accountant for Ireland
SAP_BR_GL_ACCOUNTANT_IN,General Ledger Accountant for India
SAP_BR_GL_ACCOUNTANT_IT,General Ledger Accountant for Italy
SAP_BR_GL_ACCOUNTANT_JP,General Ledger Accountant for Japan
SAP_BR_GL_ACCOUNTANT_KR,General Ledger Accountant for South Korea
SAP_BR_GL_ACCOUNTANT_LU,General Ledger Accountant for Luxembourg
