code
AC
AIE
AP
BC
BW
CA
CO
CRM
CS
DI
EC
EHS
EP
FI
FIN
FS
GRC
HAN
ICM
IM
IS
KM
LCM
LE
LO
LOD
MDM
MFG
MM
OPU
PA
PE
PLM
PM
PP
PPM
PS
PSM
PT
PY
QM
RE
SCM
SD
SLL
SRM
SV
TR
WEC
WP
XAP
